time_us,in_ms,in_dr,in_gs,in_yr,in_rv,in_ig,out_out,out_tgt,out_act,out_P,out_I,out_D,out_F
99564325,99564,3.18666649,17.8040428,0.0257366039,0,0.0340791941,20,3.18666649,1.47459865,0.173258573,0.0348083451,0.0019232349,0
99584317,99584,3.18666649,17.7550659,0.0262202919,0,0.0348083451,21,3.18666649,1.50231194,0.173736513,0.0355296582,0.0018973226,0
99605142,99605,3.18666649,17.7060432,0.0267284457,0,0.0355296582,21,3.18666649,1.53142703,0.174217537,0.036278069,0.00186968874,0
99625134,99625,3.33333325,17.6568851,0.02727364,0,0.036278069,22,3.33333325,1.56266439,0.182743281,0.0370448008,0.00200564112,0
99645126,99645,3.33333325,17.6098309,0.0276377983,0,0.0370448008,22,3.33333325,1.58352911,0.183231577,0.0378065519,0.00198730384,0
99665118,99665,3.33333325,17.5622139,0.0280151777,0,0.0378065519,22,3.33333325,1.60515141,0.183728382,0.0385629758,0.0019680683,0
99685110,99685,3.33333325,17.511858,0.0282099973,0,0.0385629758,22,3.33333325,1.6163137,0.184256703,0.039318841,0.00196097931,0
99705102,99705,3.33333325,17.4628868,0.0283962972,0,0.039318841,22,3.33333325,1.62698793,0.184773415,0.0400742255,0.00195425353,0
99725094,99725,3.46666646,17.4131622,0.0284045935,0,0.0400742255,23,3.46666646,1.62746322,0.192713082,0.0408930816,0.00211242889,0
99745086,99745,3.46666646,17.3626595,0.0285307951,0,0.0408930816,23,3.46666646,1.6346941,0.193273619,0.0417134725,0.00211024377,0
99765078,99765,3.46666646,17.3113308,0.0284678135,0,0.0417134725,23,3.46666646,1.63108552,0.193846688,0.0425403602,0.00212066993,0
99785070,99785,3.46666646,17.2591343,0.0285219681,0,0.0425403602,23,3.46666646,1.63418829,0.194432929,0.0433708504,0.00212348788,0
99805062,99805,3.46666646,17.2061272,0.0284645185,0,0.0433708504,24,3.46666646,1.63089669,0.195031926,0.0442079678,0.00213385583,0
99825054,99825,3.5599997,17.1523247,0.0284736566,0,0.0442079678,24,3.5599997,1.63142025,0.200911015,0.0450929329,0.00224876753,0
99845046,99845,3.5599997,17.0997486,0.0282776374,0,0.0450929329,24,3.5599997,1.62018919,0.201528758,0.0459885336,0.00226881751,0
99865038,99865,3.5599997,17.0462818,0.0280290209,0,0.0459885336,25,3.5599997,1.60594451,0.20216085,0.0468963794,0.00229264679,0
99885030,99885,3.5599997,16.9920197,0.0278018564,0,0.0468963794,25,3.5599997,1.59292901,0.202806443,0.0478161164,0.00231528771,0
99905022,99905,3.5599997,16.937027,0.0275202971,0,0.0478161164,25,3.5599997,1.57679677,0.203464925,0.0487494282,0.00234185462,0
99925014,99925,3.6400001,16.8814068,0.0271670148,0,0.0487494282,26,3.6400001,1.55655515,0.208722621,0.0497363843,0.00246833102,0
99945006,99945,3.6400001,16.8252068,0.0266554095,0,0.0497363843,26,3.6400001,1.52724242,0.209419802,0.0507439263,0.00251141959,0
99964998,99964,3.6400001,16.7684822,0.0261682123,0,0.0507439263,26,3.6400001,1.49932802,0.210128233,0.05172031,0.0025532092,0
99984990,99984,3.6400001,16.71138,0.0255736448,0,0.05172031,26,3.6400001,1.46526182,0.210846215,0.0527715832,0.0026027034,0
100004982,100004,3.6400001,16.6539783,0.0251076184,0,0.0527715832,26,3.6400001,1.43856049,0.21157296,0.0538431145,0.00264374004,0
100024974,100024,3.70666671,16.5963612,0.0245059319,0,0.0538431145,27,3.70666671,1.40408635,0.216195911,0.0549716689,0.00277480157,0
100044966,100044,3.70666671,16.5401592,0.0237930287,0,0.0549716689,27,3.70666671,1.36324,0.216930524,0.0561280623,0.00283362065,0
100064958,100064,3.70666671,16.4837761,0.0232115593,0,0.0561280623,27,3.70666671,1.32992435,0.217672542,0.0573089346,0.00288373535,0
100084950,100084,3.70666671,16.4273129,0.0226024128,0,0.0573089346,27,3.70666671,1.29502285,0.218420714,0.058515396,0.00293613924,0
100104942,100104,3.70666671,16.3708496,0.0220486093,0,0.058515396,28,3.70666671,1.26329219,0.219174042,0.0597461797,0.00298503088,0
100124934,100124,3.79999995,16.3144531,0.0213967282,0,0.0597461797,28,3.79999995,1.22594213,0.22546953,0.061051771,0.00315555511,0
100144926,100144,3.79999995,16.2581711,0.0208132267,0,0.061051771,29,3.79999995,1.19251001,0.226250067,0.0623834915,0.0032076058,0
100164918,100164,3.79999995,16.2020645,0.0202831216,0,0.0623834915,29,3.79999995,1.16213715,0.227033541,0.0637400746,0.00325620547,0
100184910,100184,3.79999995,16.1461773,0.0198815521,0,0.0637400746,29,3.79999995,1.13912892,0.227819383,0.0651179776,0.00329597644,0
100204902,100204,3.79999995,16.0906029,0.0194415562,0,0.0651179776,29,3.79999995,1.11391902,0.228606239,0.0665185601,0.00333869504,0
100224894,100224,3.8933332,16.0353336,0.0191066489,0,0.0665185601,30,3.8933332,1.09473026,0.235028416,0.0679878891,0.00349054532,0
100244886,100244,3.8933332,15.9817781,0.0187779553,0,0.0679878891,30,3.8933332,1.07589757,0.235815987,0.0694770366,0.00352580985,0
100264878,100264,3.8933332,15.9285641,0.0185496695,0,0.0694770366,31,3.8933332,1.06281769,0.236603811,0.0709831119,0.0035540117,0
100284870,100284,3.8933332,15.8757277,0.0183780007,0,0.0709831119,31,3.8933332,1.05298185,0.237391278,0.0725044981,0.00357823144,0
100304862,100304,3.8933332,15.8232756,0.018333137,0,0.0725044981,31,3.8933332,1.05041134,0.238178179,0.0740373731,0.00359334121,0
100324854,100324,4.01333332,15.7712498,0.0183016397,0,0.0740373731,32,4.01333332,1.04860663,0.246329218,0.0756464824,0.00375966006,0
100344846,100344,4.01333332,15.719696,0.0184290186,0,0.0756464824,32,4.01333332,1.05590498,0.24713707,0.0772621781,0.00376270455,0
100364838,100364,4.01333332,15.6686668,0.0184642076,0,0.0772621781,33,4.01333332,1.05792117,0.247941911,0.0788873062,0.00377238472,0
100384830,100384,4.01333332,15.6181021,0.0187518299,0,0.0788873062,33,4.01333332,1.07440066,0.248744637,0.0805138573,0.00376349501,0
100404822,100404,4.01333332,15.5681076,0.0189522933,0,0.0805138573,33,4.01333332,1.08588636,0.249543458,0.082144469,0.00376082561,0
100424814,100424,4.15999985,15.5186701,0.0192751866,0,0.082144469,34,4.15999985,1.10438681,0.259487003,0.0838573352,0.00393798295,0
100444806,100444,4.15999985,15.4698029,0.0196594074,0,0.0838573352,34,4.15999985,1.12640107,0.260306686,0.0855686218,0.00392196188,0
100464798,100464,4.15999985,15.4211626,0.0202473197,0,0.0855686218,35,4.15999985,1.16008592,0.26112774,0.087271601,0.00389064569,0
100484790,100484,4.15999985,15.373105,0.0208529606,0,0.087271601,35,4.15999985,1.19478655,0.261944026,0.088965416,0.00385766313,0
