#frames
class,type,ok,motor,roll,pitch,yaw,throttle,order
1,6,1,1,1056964608,2998648110,3204448256,1065353216,4
1,6,1,2,2998648110,1056964608,1056964608,1065353216,1
1,6,1,3,835509806,3204448256,1056964608,1065353216,3
1,7,0,-1,0,0,0,0,0
1,8,0,-1,0,0,0,0,0
1,9,0,-1,0,0,0,0,0
1,10,0,-1,0,0,0,0,0
1,11,0,-1,0,0,0,0,0
1,12,1,0,3204448256,3204448256,3204448256,1065353216,2
1,12,1,1,3204448255,1056964608,1056964608,1065353216,1
1,12,1,2,1056964607,3204448256,1056964608,1065353216,3
1,12,1,3,1056964607,1056964608,3204448256,1065353216,4
1,13,1,0,3204448255,1056964608,1056964608,1065353216,1
1,13,1,1,1056964607,1056964608,3204448256,1065353216,4
1,13,1,2,1056964607,3204448256,1056964608,1065353216,3
1,13,1,3,3204448256,3204448256,3204448256,1065353216,2
1,14,1,0,3204448255,1056964608,1056964608,1065353216,1
1,14,1,1,3204448256,3204448256,3204448256,1065353216,2
1,14,1,2,1056964607,3204448256,1056964608,1065353216,3
1,14,1,3,1056964607,1056964608,3204448256,1065353216,4
1,15,0,-1,0,0,0,0,0
1,16,0,-1,0,0,0,0,0
1,17,0,-1,0,0,0,0,0
1,18,1,0,3204448256,3204448256,1056964608,1065353216,2
1,18,1,1,3204448255,1056964608,3204448256,1065353216,1
1,18,1,2,1056964607,3204448256,3204448256,1065353216,3
1,18,1,3,1056964607,1056964608,1056964608,1065353216,4
1,19,1,0,3204448256,1056964608,1056964608,1065353216,1
1,19,1,1,0,3204448256,3204448256,1065353216,2
1,19,1,2,0,3204448256,1056964608,1065353216,3
1,19,1,3,1056964608,1056964608,3204448256,1065353216,4
1,20,0,-1,0,0,0,0,0
1,21,0,-1,0,0,0,0,0
1,22,0,-1,0,0,0,0,0
1,23,0,-1,0,0,0,0,0
1,24,0,-1,0,0,0,0,0
1,25,0,-1,0,0,0,0,0
2,0,1,0,3000551493,1056964608,3204448256,1065353216,1
2,0,1,1,837586850,3204448256,1056964608,1065353216,4
2,0,1,2,1056964608,3196059649,3204448256,1065353216,5
2,0,1,3,3204448256,1048575999,1056964608,1065353216,2
2,0,1,4,1056964608,1048575999,1056964608,1065353216,6
2,0,1,5,3204448256,3196059649,3204448256,1065353216,3
2,1,1,0,3204448256,3000551493,3204448256,1065353216,2
2,1,1,1,1056964608,3000551493,1056964608,1065353216,5
2,1,1,2,1048575999,1056964608,3204448256,1065353216,6
2,1,1,3,3196059645,3204448256,1056964608,1065353216,3
2,1,1,4,3196059649,1056964608,1056964608,1065353216,1
2,1,1,5,1048575999,3204448256,3204448256,1065353216,4
2,2,0,-1,0,0,0,0,0
2,3,1,0,3204448256,0,3204448256,1065353216,2
2,3,1,1,1056964608,0,1056964608,1065353216,5
2,3,1,2,1056964608,1056964608,3204448256,1065353216,6
2,3,1,3,3204448256,3204448256,1056964608,1065353216,3
2,3,1,4,3204448256,1056964608,1056964608,1065353216,1
2,3,1,5,1056964608,3204448256,3204448256,1065353216,4
2,4,0,-1,0,0,0,0,0
2,5,0,-1,0,0,0,0,0
2,6,0,-1,0,0,0,0,0
2,7,0,-1,0,0,0,0,0
2,8,0,-1,0,0,0,0,0
2,9,0,-1,0,0,0,0,0
2,10,0,-1,0,0,0,0,0
2,11,0,-1,0,0,0,0,0
2,12,0,-1,0,0,0,0,0
2,13,1,0,3196059649,1056964608,1056964608,1065353216,1
2,13,1,1,1048575999,1056964608,3204448256,1065353216,6
2,13,1,2,1056964608,3000551493,1056964608,1065353216,5
2,13,1,3,1048575999,3204448256,3204448256,1065353216,4
2,13,1,4,3196059645,3204448256,1056964608,1065353216,3
2,13,1,5,3204448256,3000551493,3204448256,1065353216,2
2,14,1,0,3196059649,1056964608,1056964608,1065353216,1
2,14,1,1,3204448256,3000551493,3204448256,1065353216,2
2,14,1,2,3196059645,3204448256,1056964608,1065353216,3
2,14,1,3,1048575999,3204448256,3204448256,1065353216,4
2,14,1,4,1056964608,3000551493,1056964608,1065353216,5
2,14,1,5,1048575999,1056964608,3204448256,1065353216,6
2,15,0,-1,0,0,0,0,0
2,16,0,-1,0,0,0,0,0
2,17,0,-1,0,0,0,0,0
2,18,0,-1,0,0,0,0,0
2,19,0,-1,0,0,0,0,0
2,20,0,-1,0,0,0,0,0
2,21,0,-1,0,0,0,0,0
2,22,0,-1,0,0,0,0,0
2,23,0,-1,0,0,0,0,0
2,24,0,-1,0,0,0,0,0
2,25,0,-1,0,0,0,0,0
3,0,1,0,2998648110,1056964608,3204448256,1065353216,1
3,0,1,1,835509806,3204448256,3204448256,1065353216,5
3,0,1,2,3199534323,1052050675,1056964608,1065353216,2
3,0,1,3,3199534324,3199534323,1056964608,1065353216,4
3,0,1,4,1052050675,1052050675,1056964608,1065353216,8
3,0,1,5,1052050675,3199534323,1056964608,1065353216,6
3,0,1,6,1056964608,2998648110,3204448256,1065353216,7
3,0,1,7,3204448256,2998648110,3204448256,1065353216,3
3,1,1,0,3193181132,1056964608,3204448256,1065353216,1
3,1,1,1,1045697485,3204448256,3204448256,1065353216,5
3,1,1,2,3204448256,1045697485,1056964608,1065353216,2
3,1,1,3,3193181138,3204448256,1056964608,1065353216,4
3,1,1,4,1045697485,1056964608,1056964608,1065353216,8
3,1,1,5,1056964608,3193181132,1056964608,1065353216,6
3,1,1,6,1056964608,1045697485,3204448256,1065353216,7
3,1,1,7,3204448256,3193181132,3204448256,1065353216,3
3,2,1,0,1054112481,1043207291,3204448256,1065353216,7
3,2,1,1,3198911775,3190019850,3204448256,1065353216,3
3,2,1,2,1051428127,3190019850,1056964608,1065353216,6
3,2,1,3,3196059648,3204448256,1056964608,1065353216,4
3,2,1,4,1056964608,1056964608,1056964608,1065353216,8
