#notch
scenario,step,in,out_f,out_x,out_y,out_z
ins_rate,92,1072437001,1074214548,1074214548,1082603156,3221698196
ins_rate,93,1072196614,1073980030,1073980030,1082368638,3221463678
ins_rate,94,1070109584,1071927608,1071927608,1080316216,3219411256
ins_rate,95,1066876549,1068591717,1068591717,1076980325,3216075365
ins_rate,96,1061906805,1065368336,1065368336,1073756944,3212851984
ins_rate,97,1057651839,1061359554,1061359554,1069748162,3208843202
ins_rate,98,1057037057,1061003772,1061003772,1069392380,3208487420
ins_rate,99,1060067946,1064137884,1064137884,1072526492,3211621532
ins_rate,100,1065353230,1067293136,1067293136,1075681744,3214776784
ins_rate,101,1067995873,1069676056,1069676056,1078064664,3217159704
ins_rate,102,1069511298,1070808219,1070808219,1079196827,3218291867
ins_rate,103,1069203896,1070079931,1070079931,1078468539,3217563579
ins_rate,104,1067076399,1067593147,1067593147,1075981755,3215076795
ins_rate,105,1062306578,1062896424,1062896424,1071285032,3210380072
ins_rate,106,1054716326,1055657164,1055657164,1064045772,3203140812
ins_rate,107,1044160392,1046581268,1046581268,1054969876,3194064916
ins_rate,108,1042237432,1045570976,1045570976,1053959584,3193054624
ins_rate,109,1051840284,1053772354,1053772354,1062160962,3201256002
ins_rate,110,1059923969,1060783442,1060783442,1069172050,3208267090
ins_rate,111,1065423487,1065658910,1065658910,1074047518,3213142558
ins_rate,112,1067103953,1067041439,1067041439,1075430047,3214525087
ins_rate,113,1066982972,1066600932,1066600932,1074989540,3214084580
ins_rate,114,1064770016,1063514256,1063514256,1071902864,3210997904
ins_rate,115,1058724962,1057268772,1057268772,1065657380,3204752420
ins_rate,116,1048449736,1043154944,1043154944,1051543552,3190638592
ins_rate,117,1022504768,3168180752,3168180752,3176569360,1020697104
ins_rate,118,1023751104,1000924000,1000924000,1009312608,3148407648
ins_rate,119,1048809612,1048630663,1048630663,1057019271,3196114311
narrow,0,0,0,0,0,2147483648
narrow,1,1053284172,1052904539,1052904539,1061293147,3200388187
narrow,2,1059407144,1058795047,1058795047,1067183655,3206278695
narrow,3,1060021926,1059097268,1059097268,1067485876,3206580916
narrow,4,1056961955,1055351494,1055351494,1063740102,3202835142
narrow,5,1043985495,1043382440,1043382440,1051771048,3190866088
narrow,6,3188566307,3182808168,3182808168,3191196776,1035324520
narrow,7,3198592040,3194345195,3194345195,3202733803,1046861547
narrow,8,3197630500,3191377102,3191377102,3199765710,1043893454
narrow,9,3176632112,1021388928,1021388928,1029777536,3168872576
narrow,10,1051045839,1050981464,1050981464,1059370072,3198465112
narrow,11,1060269182,1058588737,1058588737,1066977345,3206072385
narrow,12,1064221842,1061316594,1061316594,1069705202,3208800242
narrow,13,1064463791,1061361089,1061361089,1069749697,3208844737
narrow,14,1060992886,1058948319,1058948319,1067336927,3206431967
narrow,15,1053443921,1053400116,1053400116,1061788724,3200883764
narrow,16,1027514392,1043832912,1043832912,1052221520,3191316560
narrow,17,3190746732,1029881720,1029881720,1038270328,3177365368
narrow,18,3190945150,1031846834,1031846834,1040235442,3179330482
narrow,19,1025140408,1044576108,1044576108,1052964716,3192059756
narrow,20,1068544434,1068309569,1068309569,1076698177,3215793217
narrow,21,1071391108,1069407265,1069407265,1077795873,3216890913
narrow,22,1073080438,1070054125,1070054125,1078442733,3217537773
narrow,23,1072915262,1069985449,1069985449,1078374057,3217469097
narrow,24,1070897048,1069207695,1069207695,1077596303,3216691343
narrow,25,1067725869,1067981139,1067981139,1076369747,3215464787
narrow,26,1063714048,1066709455,1066709455,1075098063,3214193103
narrow,27,1059551640,1065782443,1065782443,1074171051,3213266091
narrow,28,1059012566,1065432940,1065432940,1073821548,3212916588
narrow,29,1062101589,1065660149,1065660149,1074048757,3213143797
narrow,30,1066390105,1066244108,1066244108,1074632716,3213727756
narrow,31,1069043604,1066840626,1066840626,1075229234,3214324274
narrow,32,1070560590,1067117023,1067117023,1075505631,3214600671
narrow,33,1070245436,1066875904,1066875904,1075264512,3214359552
narrow,34,1068100942,1066121769,1066121769,1074510377,3213605417
narrow,35,1064303389,1064744656,1064744656,1073133264,3212228304
narrow,36,1057767448,1062566260,1062566260,1070954868,3210049908
narrow,37,1050048064,1060941177,1060941177,1069329785,3208424825
narrow,38,1048879818,1060222460,1060222460,1068611068,3207706108
narrow,39,1055075912,1060414122,1060414122,1068802730,3207897770
narrow,40,1061408664,1061191176,1061191176,1069579784,3208674824
narrow,41,1066092645,1062040513,1062040513,1070429121,3209524161
narrow,42,1067694027,1062463637,1062463637,1070852245,3209947285
narrow,43,1067488717,1062162480,1062162480,1070551088,3209646128
narrow,44,1065478543,1061140302,1061140302,1069528910,3208623950
narrow,45,1059373752,1059684923,1059684923,1068073531,3207168571
narrow,46,1049428890,1058247320,1058247320,1066635928,3205730968
narrow,47,1027167968,1057265911,1057265911,1065654519,3204749559
narrow,48,1024806400,1057005469,1057005469,1065394077,3204489117
narrow,49,1048515848,1057469064,1057469064,1065857672,3204952712
narrow,50,1058642343,1058411939,1058411939,1066800547,3205895587
narrow,51,1064588966,1059446298,1059446298,1067834906,3206929946
narrow,52,1066844034,1060193434,1060193434,1068582042,3207677082
narrow,53,1066917826,1060423708,1060423708,1068812316,3207907356
narrow,54,1065030413,1060133352,1060133352,1068521960,3207617000
narrow,55,1059373785,1059533021,1059533021,1067921629,3207016669
narrow,56,1050575720,1058956962,1058956962,1067345570,3206440610
narrow,57,1038617600,1058731596,1058731596,1067120204,3206215244
narrow,58,1041044944,1059053299,1059053299,1067441907,3206536947
narrow,59,1053032162,1059921662,1059921662,1068310270,3207405310
narrow,60,1061408656,1061148890,1061148890,1069537498,3208632538
narrow,61,1066603578,1062438321,1062438321,1070826929,3209921969
narrow,62,1068711363,1063498951,1063498951,1071887559,3210982599
narrow,63,1069003423,1064151565,1064151565,1072540173,3211635213
narrow,64,1067477167,1064387499,1064387499,1072776107,3211871147
narrow,65,1064303424,1064360843,1064360843,1072749451,3211844491
narrow,66,1059014984,1064320340,1064320340,1072708948,3211803988
narrow,67,1055016106,1064510173,1064510173,1072898781,3211993821
narrow,68,1056276738,1065077122,1065077122,1073465730,3212560770
narrow,69,1060900298,1065686240,1065686240,1074074848,3213169888
narrow,70,1086583962,1086250722,1086250722,1094639330,3233734370
narrow,71,1069644256,1064550997,1064550997,1072939605,3212034645
narrow,72,1071756536,1066701908,1066701908,1075090516,3214185556
narrow,73,1072026080,1068435326,1068435326,1076823934,3215918974
narrow,74,1070450477,1069607119,1069607119,1077995727,3217090767
narrow,75,1067725854,1069906358,1069906358,1078294966,3217390006
narrow,76,1064607198,1069357573,1069357573,1077746181,3216841221
narrow,77,1061330009,1068291231,1068291231,1076679839,3215774879
narrow,78,1061660366,1067202629,1067202629,1075591237,3214686277
narrow,79,1065474290,1066557597,1066557597,1074946205,3214041245
narrow,80,1068544439,1066620506,1066620506,1075009114,3214104154
narrow,81,1071586276,1067367397,1067367397,1075756005,3214851045
narrow,82,1073469028,1068511130,1068511130,1076899738,3215994778
narrow,83,1073493830,1069623199,1069623199,1078011807,3217106847
