time_us,in_h,in_dh,in_hin,in_hdem,in_dhdem,in_spdem,in_sp,in_dsp,in_pmin,in_pmax,in_dspdem,in_f,out_th,out_ph
228805108,20.9437752,-5.84620142,15.0499992,20.095396,-4.14195299,29.8083076,27.7703648,-1.43152297,-0.34906584,0.261799395,-1.18242502,4,0.531618893,-0.249583647
228905068,20.3378429,-6.03558445,14.4799995,19.5957375,-4.17391586,29.6902065,27.7574368,-0.809436202,-0.34906584,0.261799395,-1.18149185,4,0.519690692,-0.2374589
229005028,19.7191219,-6.10720825,13.9099998,19.0928402,-4.20592546,29.5721569,27.749918,-0.529487252,-0.34906584,0.261799395,-1.18097556,4,0.503264844,-0.231500372
229204948,18.4982452,-5.79869604,12.7799997,18.0873432,-4.26688147,29.3370399,27.6503563,-0.815152526,-0.34906584,0.261799395,-1.17334318,4,0.505178213,-0.237006798
229304908,17.9277191,-5.48844337,12.21,17.5847397,-4.29589272,29.2205086,27.5537014,-0.962638497,-0.34906584,0.261799395,-1.16578579,4,0.533578694,-0.242102504
229404868,17.3914337,-5.17141533,11.6399994,17.082222,-4.32396936,29.1047382,27.4554234,-0.933343887,-0.34906584,0.261799395,-1.15816975,4,0.554801524,-0.245344684
229504828,16.8832741,-4.97432613,11.0699997,16.5797939,-4.3511405,28.9895878,27.3759861,-0.67072767,-0.34906584,0.261799395,-1.15195727,4,0.561420083,-0.244548872
229604788,16.388176,-4.93313599,10.5,16.0774517,-4.37743521,28.8748226,27.3260918,-0.324787229,-0.34906584,0.261799395,-1.14811397,4,0.553638697,-0.241054744
229704748,15.8911676,-4.98414946,9.92999935,15.639883,-4.37743521,28.760273,27.2972946,-0.115975715,-0.34906584,0.17453292,-1.14596331,4,0.549710393,-0.215421438
229804708,15.3843641,-5.07552719,0,15.2100658,-4.236063,28.6459236,27.2707367,-0.110522553,-0.33730194,0.17453292,-1.14394498,4,0.551604986,-0.207553998
229904668,14.8692875,-5.1017375,0,14.7945309,-4.09191656,28.5320454,27.2103634,-0.702569604,-0.32530719,0.17453292,-1.13923609,4,0.579034805,-0.201142177
230004628,14.3601809,-4.97277832,0,14.3931026,-3.95331907,28.4192944,27.0663071,-1.7936554,-0.313774168,0.17453292,-1.12795401,4,0.646946192,-0.207775012
230104588,13.8743887,-4.68935823,0,14.0053759,-3.8174963,28.3084145,26.8281155,-3.00499344,-0.302472085,0.17453292,-1.10924649,4,0.75130713,-0.221050441
230204548,13.4213209,-4.36088419,0,13.6306181,-3.69275522,28.2000103,26.5128231,-4.19617176,-0.292092115,0.17453292,-1.08448052,4,0.861796856,-0.237024367
230304508,12.9974871,-4.10941601,0,13.2680244,-3.57356334,28.0946369,26.1274891,-5.25416708,-0.282173872,0.17453292,-1.05416453,4,0.973985136,-0.250910252
230404468,12.5900412,-4.02749157,0,12.9168892,-3.46269584,27.9925556,25.7093029,-5.83949184,-0.272948325,0.17453292,-1.02122521,4,1,-0.254905313
230504428,12.179142,-4.14313602,0,12.5771418,-3.3462615,27.892828,25.3093338,-5.79717255,-0.26325959,0.17453292,-0.997670531,4,0.995061159,-0.243751958
230604388,11.7488813,-4.40576077,0,12.2491856,-3.22706985,27.7968369,24.9353027,-5.45684242,-0.253341377,0.17453292,-0.960303247,4,0.992767572,-0.223026142
230704348,11.2861605,-4.7034049,0,11.9335966,-3.09957099,27.7036438,24.580019,-5.06847382,-0.242731899,0.17453292,-0.932307959,4,1,-0.197711661
230805141,10.7978001,-4.9037962,0,11.6287422,-2.96373129,27.6119232,24.2335873,-4.77444506,-0.231428385,0.17453292,-0.909996986,4,1,-0.172715813
