#common
kind,a,b,c,out
f16_get,690,0,0,942440448
f16_get,691,0,0,942456832
f16_get,692,0,0,942473216
f16_get,693,0,0,942489600
f16_get,694,0,0,942505984
f16_get,695,0,0,942522368
f16_get,696,0,0,942538752
f16_get,697,0,0,942555136
f16_get,698,0,0,942571520
f16_get,699,0,0,942587904
f16_get,700,0,0,942604288
f16_get,701,0,0,942620672
f16_get,702,0,0,942637056
f16_get,703,0,0,942653440
f16_get,704,0,0,942669824
f16_get,705,0,0,942686208
f16_get,706,0,0,942702592
f16_get,707,0,0,942718976
f16_get,708,0,0,942735360
f16_get,709,0,0,942751744
f16_get,710,0,0,942768128
f16_get,711,0,0,942784512
f16_get,712,0,0,942800896
f16_get,713,0,0,942817280
f16_get,714,0,0,942833664
f16_get,715,0,0,942850048
f16_get,716,0,0,942866432
f16_get,717,0,0,942882816
f16_get,718,0,0,942899200
f16_get,719,0,0,942915584
f16_get,720,0,0,942931968
f16_get,721,0,0,942948352
f16_get,722,0,0,942964736
f16_get,723,0,0,942981120
f16_get,724,0,0,942997504
f16_get,725,0,0,943013888
f16_get,726,0,0,943030272
f16_get,727,0,0,943046656
f16_get,728,0,0,943063040
f16_get,729,0,0,943079424
f16_get,730,0,0,943095808
f16_get,731,0,0,943112192
f16_get,732,0,0,943128576
f16_get,733,0,0,943144960
f16_get,734,0,0,943161344
f16_get,735,0,0,943177728
f16_get,736,0,0,943194112
f16_get,737,0,0,943210496
f16_get,738,0,0,943226880
f16_get,739,0,0,943243264
f16_get,740,0,0,943259648
f16_get,741,0,0,943276032
f16_get,742,0,0,943292416
f16_get,743,0,0,943308800
f16_get,744,0,0,943325184
f16_get,745,0,0,943341568
f16_get,746,0,0,943357952
f16_get,747,0,0,943374336
f16_get,748,0,0,943390720
f16_get,749,0,0,943407104
f16_get,750,0,0,943423488
f16_get,751,0,0,943439872
f16_get,752,0,0,943456256
f16_get,753,0,0,943472640
f16_get,754,0,0,943489024
f16_get,755,0,0,943505408
f16_get,756,0,0,943521792
f16_get,757,0,0,943538176
f16_get,758,0,0,943554560
f16_get,759,0,0,943570944
f16_get,760,0,0,943587328
f16_get,761,0,0,943603712
f16_get,762,0,0,943620096
f16_get,763,0,0,943636480
f16_get,764,0,0,943652864
f16_get,765,0,0,943669248
f16_get,766,0,0,943685632
f16_get,767,0,0,943702016
f16_get,768,0,0,943718400
f16_get,769,0,0,943734784
f16_get,770,0,0,943751168
f16_get,771,0,0,943767552
f16_get,772,0,0,943783936
f16_get,773,0,0,943800320
f16_get,774,0,0,943816704
f16_get,775,0,0,943833088
f16_get,776,0,0,943849472
f16_get,777,0,0,943865856
f16_get,778,0,0,943882240
f16_get,779,0,0,943898624
f16_get,780,0,0,943915008
f16_get,781,0,0,943931392
f16_get,782,0,0,943947776
f16_get,783,0,0,943964160
f16_get,784,0,0,943980544
f16_get,785,0,0,943996928
f16_get,786,0,0,944013312
f16_get,787,0,0,944029696
f16_get,788,0,0,944046080
f16_get,789,0,0,944062464
f16_get,790,0,0,944078848
f16_get,791,0,0,944095232
f16_get,792,0,0,944111616
f16_get,793,0,0,944128000
f16_get,794,0,0,944144384
f16_get,795,0,0,944160768
f16_get,796,0,0,944177152
f16_get,797,0,0,944193536
f16_get,798,0,0,944209920
f16_get,799,0,0,944226304
f16_get,800,0,0,944242688
f16_get,801,0,0,944259072
f16_get,802,0,0,944275456
f16_get,803,0,0,944291840
f16_get,804,0,0,944308224
f16_get,805,0,0,944324608
f16_get,806,0,0,944340992
f16_get,807,0,0,944357376
f16_get,808,0,0,944373760
f16_get,809,0,0,944390144
f16_get,810,0,0,944406528
f16_get,811,0,0,944422912
f16_get,812,0,0,944439296
f16_get,813,0,0,944455680
f16_get,814,0,0,944472064
f16_get,815,0,0,944488448
f16_get,816,0,0,944504832
f16_get,817,0,0,944521216
f16_get,818,0,0,944537600
f16_get,819,0,0,944553984
f16_get,820,0,0,944570368
f16_get,821,0,0,944586752
f16_get,822,0,0,944603136
f16_get,823,0,0,944619520
f16_get,824,0,0,944635904
f16_get,825,0,0,944652288
f16_get,826,0,0,944668672
f16_get,827,0,0,944685056
f16_get,828,0,0,944701440
f16_get,829,0,0,944717824
f16_get,830,0,0,944734208
f16_get,831,0,0,944750592
f16_get,832,0,0,944766976
f16_get,833,0,0,944783360
f16_get,834,0,0,944799744
f16_get,835,0,0,944816128
f16_get,836,0,0,944832512
f16_get,837,0,0,944848896
f16_get,838,0,0,944865280
f16_get,839,0,0,944881664
f16_get,840,0,0,944898048
f16_get,841,0,0,944914432
f16_get,842,0,0,944930816
f16_get,843,0,0,944947200
f16_get,844,0,0,944963584
f16_get,845,0,0,944979968
f16_get,846,0,0,944996352
f16_get,847,0,0,945012736
f16_get,848,0,0,945029120
f16_get,849,0,0,945045504
f16_get,850,0,0,945061888
f16_get,851,0,0,945078272
f16_get,852,0,0,945094656
f16_get,853,0,0,945111040
f16_get,854,0,0,945127424
f16_get,855,0,0,945143808
f16_get,856,0,0,945160192
f16_get,857,0,0,945176576
f16_get,858,0,0,945192960
f16_get,859,0,0,945209344
f16_get,860,0,0,945225728
f16_get,861,0,0,945242112
f16_get,862,0,0,945258496
f16_get,863,0,0,945274880
f16_get,864,0,0,945291264
f16_get,865,0,0,945307648
f16_get,866,0,0,945324032
f16_get,867,0,0,945340416
f16_get,868,0,0,945356800
f16_get,869,0,0,945373184
f16_get,870,0,0,945389568
f16_get,871,0,0,945405952
f16_get,872,0,0,945422336
f16_get,873,0,0,945438720
f16_get,874,0,0,945455104
f16_get,875,0,0,945471488
f16_get,876,0,0,945487872
f16_get,877,0,0,945504256
f16_get,878,0,0,945520640
f16_get,879,0,0,945537024
f16_get,880,0,0,945553408
f16_get,881,0,0,945569792
f16_get,882,0,0,945586176
f16_get,883,0,0,945602560
f16_get,884,0,0,945618944
f16_get,885,0,0,945635328
f16_get,886,0,0,945651712
f16_get,887,0,0,945668096
f16_get,888,0,0,945684480
f16_get,889,0,0,945700864
f16_get,890,0,0,945717248
f16_get,891,0,0,945733632
f16_get,892,0,0,945750016
f16_get,893,0,0,945766400
f16_get,894,0,0,945782784
f16_get,895,0,0,945799168
f16_get,896,0,0,945815552
f16_get,897,0,0,945831936
f16_get,898,0,0,945848320
f16_get,899,0,0,945864704
f16_get,900,0,0,945881088
f16_get,901,0,0,945897472
f16_get,902,0,0,945913856
f16_get,903,0,0,945930240
f16_get,904,0,0,945946624
f16_get,905,0,0,945963008
f16_get,906,0,0,945979392
f16_get,907,0,0,945995776
f16_get,908,0,0,946012160
f16_get,909,0,0,946028544
f16_get,910,0,0,946044928
f16_get,911,0,0,946061312
f16_get,912,0,0,946077696
f16_get,913,0,0,946094080
f16_get,914,0,0,946110464
f16_get,915,0,0,946126848
f16_get,916,0,0,946143232
f16_get,917,0,0,946159616
f16_get,918,0,0,946176000
f16_get,919,0,0,946192384
f16_get,920,0,0,946208768
f16_get,921,0,0,946225152
f16_get,922,0,0,946241536
f16_get,923,0,0,946257920
f16_get,924,0,0,946274304
f16_get,925,0,0,946290688
f16_get,926,0,0,946307072
f16_get,927,0,0,946323456
f16_get,928,0,0,946339840
