name,key,idx,group_element,type,default
Q_FRAME_CLASS,99,0,46,1,1
Q_FRAME_TYPE,99,0,31,1,1
Q_VFWD_GAIN,99,0,32,4,0
Q_RTL_ALT,99,0,35,2,15
Q_RTL_MODE,99,0,36,1,0
Q_GUIDED_MODE,99,0,40,1,0
Q_ESC_CAL,99,0,42,1,0
Q_VFWD_ALT,99,0,43,4,0
Q_LAND_ICE_CUT,99,0,44,1,1
Q_ASSIST_ANGLE,99,0,45,1,30
Q_ASSIST_OPTIONS,99,0,47,2,0
Q_MAV_TYPE,99,0,57,1,0
Q_OPTIONS,99,0,58,3,0
Q_TRANS_DECEL,99,0,123,4,2
Q_TRIM_PITCH,99,0,315,4,0
Q_AUTOTUNE_AXES,99,0,4539,1,7
Q_AUTOTUNE_AGGR,99,0,8635,4,0.075000003
Q_AUTOTUNE_MIN_D,99,0,12731,4,0.000500000024
Q_AUTOTUNE_GMBK,99,0,16827,4,0.25
Q_FW_LND_APR_RAD,99,0,507,4,0
Q_TRANS_FAIL,99,0,571,2,0
Q_THROTTLE_EXPO,99,0,699,4,0.200000003
Q_ACRO_RLL_RATE,99,0,763,4,360
Q_ACRO_PIT_RATE,99,0,827,4,180
Q_ACRO_YAW_RATE,99,0,891,4,90
Q_TKOFF_FAIL_SCL,99,0,955,4,0
Q_TKOFF_ARSP_LIM,99,0,1019,4,0
Q_ASSIST_ALT,99,0,1083,2,0
Q_ASSIST_DELAY,99,0,1275,4,0.5
Q_FWD_MANTHR_MAX,99,0,1339,4,0
Q_TAILSIT_ENABLE,99,0,5819,1,0
Q_TAILSIT_ANGLE,99,0,9915,1,45
Q_TAILSIT_ANG_VT,99,0,14011,1,0
Q_TAILSIT_INPUT,99,0,18107,1,0
Q_TAILSIT_VFGAIN,99,0,30395,4,0
Q_TAILSIT_VHGAIN,99,0,34491,4,0.5
Q_TAILSIT_VHPOW,99,0,38587,4,2.5
Q_TAILSIT_GSCMAX,99,0,42683,4,2
Q_TAILSIT_RLL_MX,99,0,46779,4,0
Q_TAILSIT_MOTMX,99,0,50875,2,0
Q_TAILSIT_GSCMSK,99,0,54971,2,1
Q_TAILSIT_GSCMIN,99,0,59067,4,0.400000006
Q_TAILSIT_DSKLD,99,0,63163,4,0
Q_TAILSIT_RAT_FW,99,0,67259,4,50
Q_TAILSIT_RAT_VT,99,0,71355,4,50
Q_TAILSIT_THR_VT,99,0,75451,4,-1
Q_TAILSIT_VT_R_P,99,0,79547,4,1
Q_TAILSIT_VT_P_P,99,0,83643,4,1
Q_TAILSIT_VT_Y_P,99,0,87739,4,1
Q_TAILSIT_MIN_VO,99,0,91835,4,0
Q_TILT_ENABLE,99,0,5883,1,0
Q_TILT_MASK,99,0,9979,2,0
Q_TILT_RATE_UP,99,0,14075,2,40
Q_TILT_MAX,99,0,18171,1,45
Q_TILT_TYPE,99,0,22267,1,0
Q_TILT_RATE_DN,99,0,26363,2,0
Q_TILT_YAW_ANGLE,99,0,30459,4,0
Q_TILT_FIX_ANGLE,99,0,34555,4,0
Q_TILT_FIX_GAIN,99,0,38651,4,0
Q_TILT_WING_FLAP,99,0,42747,4,0
Q_BACKTRANS_MS,99,0,1851,2,3000
Q_TRANS_FAIL_ACT,99,0,1915,1,0
Q_LAND_ALTCHG,99,0,2043,4,0.200000003
Q_NAVALT_MIN,99,0,2107,4,0
Q_PLT_Y_RATE,99,0,6267,4,100
Q_PLT_Y_EXPO,99,0,10363,4,0.25
Q_PLT_Y_RATE_TC,99,0,14459,4,0.25
Q_RTL_ALT_MIN,99,0,2235,2,10
Q_FWD_THR_GAIN,99,0,2299,4,2
Q_FWD_PIT_LIM,99,0,2363,4,3
