#chirp
config,time,output,freq_rads,complete
no_fade,1074748457,3192730016,1090498555,0
no_fade,1074790400,3196998646,1090516544,0
no_fade,1074832343,3199545692,1090526796,0
no_fade,1074874286,3202019087,1090535810,0
no_fade,1074916229,3204403275,1090544834,0
no_fade,1074958172,3205565119,1090553867,0
no_fade,1075000115,3206644351,1090562909,0
no_fade,1075042058,3207656404,1090571962,0
no_fade,1075084001,3208594280,1090581024,0
no_fade,1075125944,3209451787,1090590096,0
no_fade,1075167887,3210223020,1090599178,0
no_fade,1075209830,3210902737,1090608270,0
no_fade,1075251773,3211486130,1090617371,0
no_fade,1075293716,3211969065,1090626482,0
no_fade,1075335659,3212348104,1090635602,0
no_fade,1075377602,3212620400,1090644733,0
no_fade,1075419545,3212783784,1090653874,0
no_fade,1075461488,3212836838,1090663024,0
no_fade,1075503431,3212778862,1090672184,0
no_fade,1075545374,3212609888,1090681353,0
no_fade,1075587318,3212330676,1090690533,0
no_fade,1075629261,3211942701,1090699723,0
no_fade,1075671204,3211448262,1090708922,0
no_fade,1075713147,3210850286,1090718132,0
no_fade,1075755090,3210152481,1090727351,0
no_fade,1075797033,3209359187,1090736580,0
no_fade,1075838976,3208475481,1090745819,0
no_fade,1075880919,3207507022,1090755068,0
no_fade,1075922862,3206460020,1090764327,0
no_fade,1075964805,3205341470,1090773595,0
no_fade,1076006748,3203868982,1090782874,0
no_fade,1076048691,3201390426,1090792163,0
no_fade,1076090634,3198815508,1090801462,0
no_fade,1076132577,3196161776,1090810771,0
no_fade,1076174520,3190834333,1090820089,0
no_fade,1076216463,3182968606,1090829417,0
no_fade,1076258406,3152551706,1090838756,0
no_fade,1076300349,1033602984,1090848105,0
no_fade,1076342292,1042436985,1090857463,0
no_fade,1076384235,1047911437,1090866832,0
no_fade,1076426178,1050928082,1090876212,0
no_fade,1076468121,1053540367,1090885600,0
no_fade,1076510064,1056062426,1090894999,0
no_fade,1076552007,1057720445,1090904408,0
no_fade,1076593950,1058864668,1090913827,0
no_fade,1076635894,1059937923,1090923257,0
no_fade,1076677837,1060932391,1090932696,0
no_fade,1076719780,1061840937,1090942146,0
no_fade,1076761723,1062656771,1090951606,0
no_fade,1076803666,1063373777,1090961075,0
no_fade,1076845609,1063986621,1090970555,0
no_fade,1076887552,1064490597,1090980045,0
no_fade,1076929495,1064881775,1090989545,0
no_fade,1076971438,1065157008,1090999056,0
no_fade,1077013381,1065313910,1091008577,0
no_fade,1077055324,1065351002,1091018108,0
no_fade,1077097267,1065267619,1091027650,0
no_fade,1077139210,1065063989,1091037201,0
no_fade,1077181153,1064741198,1091046762,0
no_fade,1077223096,1064301149,1091056335,0
no_fade,1077265039,1063746744,1091065917,0
no_fade,1077306982,1063081535,1091075509,0
no_fade,1077348925,1062310053,1091085112,0
no_fade,1077390868,1061437688,1091094725,0
no_fade,1077432811,1060470321,1091104348,0
no_fade,1077474754,1059414833,1091113982,0
no_fade,1077516697,1058278593,1091123627,0
no_fade,1077558640,1057069882,1091133281,0
no_fade,1077600583,1054629726,1091142946,0
no_fade,1077642526,1051974961,1091152621,0
no_fade,1077684469,1049230118,1091162307,0
no_fade,1077726413,1044254685,1091172003,0
no_fade,1077768356,1036864992,1091181709,0
no_fade,1077810299,1013327999,1091191426,0
no_fade,1077852242,3180604040,1091201154,0
no_fade,1077894185,3189905552,1091210892,0
no_fade,1077936128,3195599490,1091220639,0
no_fade,1077978071,3198618420,1091230398,0
no_fade,1078020014,3201327945,1091240167,0
no_fade,1078061957,3203937247,1091249947,0
no_fade,1078103900,3205437260,1091259737,0
no_fade,1078145843,3206611977,1091269537,0
no_fade,1078187786,3207707851,1091279349,0
no_fade,1078229729,3208716211,1091289170,0
no_fade,1078271672,3209629143,1091299002,0
no_fade,1078313615,3210439344,1091308846,0
no_fade,1078355558,3211140163,1091318699,0
no_fade,1078397501,3211725996,1091328562,0
no_fade,1078439444,3212191934,1091338437,0
no_fade,1078481387,3212533958,1091348322,0
no_fade,1078523330,3212749062,1091358218,0
no_fade,1078565273,3212835148,1091368124,0
no_fade,1078607216,3212791153,1091378041,0
no_fade,1078649159,3212616976,1091387969,0
no_fade,1078691102,3212313573,1091397908,0
no_fade,1078733045,3211882913,1091407856,0
no_fade,1078774988,3211327930,1091417816,0
no_fade,1078816932,3210652570,1091427786,0
no_fade,1078858875,3209861804,1091437767,0
no_fade,1078900818,3208961444,1091447759,0
no_fade,1078942761,3207958241,1091457762,0
no_fade,1078984704,3206859872,1091467775,0
no_fade,1079026647,3205674754,1091477798,0
no_fade,1079068590,3204375489,1091487833,0
no_fade,1079110533,3201713901,1091497879,0
no_fade,1079152476,3198937828,1091507935,0
no_fade,1079194419,3196068348,1091518002,0
no_fade,1079236362,3190197392,1091528080,0
no_fade,1079278305,3180776873,1091538169,0
no_fade,1079320248,1015257093,1091548268,0
no_fade,1079362191,1037601168,1091558379,0
no_fade,1079404134,1044860900,1091568500,0
no_fade,1079446077,1049652070,1091578632,0
no_fade,1079488020,1052511835,1091588775,0
no_fade,1079529963,1055274420,1091598929,0
no_fade,1079571906,1057440794,1091609093,0
no_fade,1079613849,1058691094,1091619269,0
no_fade,1079655792,1059859890,1091629455,0
no_fade,1079697735,1060937376,1091639653,0
no_fade,1079739678,1061914386,1091649862,0
no_fade,1079781621,1062782502,1091660081,0
no_fade,1079823564,1063534238,1091670312,0
no_fade,1079865508,1064162928,1091680553,0
no_fade,1079907451,1064663069,1091690805,0
no_fade,1079949394,1065030037,1091701069,0
no_fade,1079991337,1065260333,1091711343,0
no_fade,1080033280,1065351606,1091721629,0
no_fade,1080075223,1065302650,1091731925,0
no_fade,1080117166,1065113423,1091742232,0
no_fade,1080159109,1064785033,1091752552,0
no_fade,1080201052,1064319846,1091762881,0
no_fade,1080242995,1063721338,1091773222,0
no_fade,1080284938,1062994132,1091783573,0
no_fade,1080326881,1062143938,1091793937,0
no_fade,1080368824,1061177630,1091804311,0
no_fade,1080410767,1060103137,1091814696,0
no_fade,1080452710,1058929125,1091825092,0
no_fade,1080494653,1057665293,1091835500,0
no_fade,1080536596,1055680127,1091845918,0
no_fade,1080578539,1052858319,1091856348,0
